Base,1,Kodai Senga,New York Mets,
Base,2,Masyn Winn,St. Louis Cardinals,RC
Base,3,Spencer Steer,Cincinnati Reds,
Base,4,Trea Turner,Philadelphia Phillies,
Base,5,Masataka Yoshida,Boston Red Sox,
Base,6,Adolis García,Texas Rangers,
Base,7,Aaron Judge,New York Yankees,
Base,8,Sandy Alcantara,Miami Marlins,
Base,9,Heston Kjerstad,Baltimore Orioles,RC
Base,10,Rafael Devers,Boston Red Sox,
Base,11,Kyle Harrison,San Francisco Giants,RC
Base,12,Luis Matos,San Francisco Giants,RC
Base,13,Ronny Mauricio,New York Mets,RC
Base,14,Zack Gelof,Oakland Athletics,RC
Base,15,Tyler Soderstrom,Oakland Athletics,RC
Base,16,Riley Greene,Detroit Tigers,
Base,17,Jasson Domínguez,New York Yankees,(RC)
Base,18,Marco Luciano,San Francisco Giants,(RC)
Base,19,Mike Trout,Los Angeles Angels,
Base,20,Junior Caminero,Tampa Bay Rays,RC
Base,21,Alexander Canario,Chicago Cubs,RC
Base,22,Elly De La Cruz,Cincinnati Reds,RC
Base,23,Carlos Correa,Minnesota Twins,
Base,24,Corey Seager,Texas Rangers,
Base,25,Corbin Carroll,Arizona Diamondbacks,
Base,26,CJ Abrams,Washington Nationals,
Base,27,Jordyn Adams,Los Angeles Angels,RC
Base,28,Curtis Mead,Tampa Bay Rays,RC
Base,29,Jordan Walker,St. Louis Cardinals,
Base,30,José Tena,Cleveland Guardians,RC
Base,31,Colton Cowser,Baltimore Orioles,(RC)
Base,32,Ronald Acuña Jr.,Atlanta Braves,
Base,33,Shohei Ohtani,Los Angeles Dodgers,
Base,34,Christian Yelich,Milwaukee Brewers,
Base,35,Fernando Tatis Jr.,San Diego Padres,
Base,36,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
Base,37,Bryce Harper,Philadelphia Phillies,
Base,38,Francisco Lindor,New York Mets,
Base,39,Sal Frelick,Milwaukee Brewers,(RC)
Base,40,Mookie Betts,Los Angeles Dodgers,
Base,41,Michael Harris II,Atlanta Braves,
Base,42,Jordan Westburg,Baltimore Orioles,RC
Base,43,Freddie Freeman,Los Angeles Dodgers,
Base,44,Lawrence Butler,Oakland Athletics,RC
Base,45,Corbin Burnes,Milwaukee Brewers,
Base,46,Evan Carter,Texas Rangers,RC
Base,47,Nolan Arenado,St. Louis Cardinals,
Base,48,Justin Verlander,Houston Astros,
Base,49,Gunnar Henderson,Baltimore Orioles,
Base,50,Kris Bryant,Colorado Rockies,
Base,51,Luis Arraez,Miami Marlins,
Base,52,José Rodríguez,Chicago White Sox,RC
Base,53,Yordan Alvarez,Houston Astros,
Base,54,Matt Olson,Atlanta Braves,
Base,55,Luis Robert Jr.,Chicago White Sox,
Base,56,Clayton Kershaw,Los Angeles Dodgers,
Base,57,Owen White,Texas Rangers,RC
Base,58,Austin Riley,Atlanta Braves,
Base,59,Bobby Witt Jr.,Kansas City Royals,
Base,60,Gerrit Cole,New York Yankees,
Base,61,Henry Davis,Pittsburgh Pirates,(RC)
Base,62,Nick Gonzales,Pittsburgh Pirates,RC
Base,63,AJ Smith-Shawver,Atlanta Braves,RC
Base,64,Kyle Tucker,Houston Astros,
Base,65,José Ramírez,Cleveland Guardians,
Base,66,Gavin Williams,Cleveland Guardians,RC
Base,67,Quinn Priester,Pittsburgh Pirates,RC
Base,68,Endy Rodríguez,Pittsburgh Pirates,RC
Base,69,Jung-hoo Lee,San Francisco Giants,RC
Base,70,Andrew Abbott,Cincinnati Reds,RC
Base,71,Nick Loftin,Kansas City Royals,RC
Base,72,Pete Alonso,New York Mets,
Base,73,Jose Altuve,Houston Astros,
Base,74,Blake Snell,San Diego Padres,
Base,75,Francisco Alvarez,New York Mets,
Base,76,Anthony Volpe,New York Yankees,
Base,77,Adley Rutschman,Baltimore Orioles,
Base,78,Juan Soto,New York Yankees,
Base,79,Christian Encarnacion-Stra,Cincinnati Reds,RC
Base,80,Noelvi Marte,Cincinnati Reds,RC
